paper_id,source,url/doi,retrieved_date,license_note
pmc_PMC10004353,pmc,10.3390/jcm12051986,2026-05-06,CC BY
pmc_PMC10007656,pmc,10.1007/s40273-022-01231-w,2026-05-06,CC BY-NC
pmc_PMC10008035,pmc,10.1016/j.conctc.2023.101113,2026-05-06,CC BY-NC-ND
pmc_PMC10009507,pmc,10.22074/IJFS.2022.535676.1169,2026-05-06,CC BY-NC
pmc_PMC10009508,pmc,10.22074/IJFS.2022.543827.1231,2026-05-06,CC BY-NC
pmc_PMC10009509,pmc,10.22074/IJFS.2022.551310.1284,2026-05-06,CC BY-NC
pmc_PMC10009510,pmc,10.22074/IJFS.2022.544330.1234,2026-05-06,CC BY-NC
pmc_PMC10009511,pmc,10.22074/IJFS.2022.548425.1258,2026-05-06,CC BY-NC
pmc_PMC10009512,pmc,10.22074/ijfs.2023.1973580.1395,2026-05-06,CC BY-NC
pmc_PMC10009513,pmc,10.22074/IJFS.2022.550429.1275,2026-05-06,CC BY-NC
pmc_PMC10009514,pmc,10.22074/ijfs.2022.551571.1285,2026-05-06,CC BY-NC
pmc_PMC10009516,pmc,10.22074/IJFS.2022.550111.1310,2026-05-06,CC BY-NC
pmc_PMC10009822,pmc,10.1038/s41577-023-00855-z,2026-05-06,none
pmc_PMC10009877,pmc,10.4293/JSLS.2022.00088,2026-05-06,CC BY-NC-ND
pmc_PMC10012847,pmc,10.1039/d3na00025g,2026-05-06,CC BY-NC
pmc_PMC10014348,pmc,10.1016/j.psj.2022.102447,2026-05-06,CC BY-NC-ND
pmc_PMC10015045,pmc,10.1038/s41467-023-36982-3,2026-05-06,CC BY
pmc_PMC10016161,pmc,10.1007/s00103-023-03677-5,2026-05-06,CC BY
pmc_PMC10019195,pmc,10.1002/pro.4590,2026-05-06,CC BY-NC-ND
pmc_PMC10019361,pmc,10.1261/rna.079519.122,2026-05-06,CC BY-NC
pmc_PMC10019362,pmc,10.1261/rna.079540.122,2026-05-06,CC BY-NC
pmc_PMC10019365,pmc,10.1261/rna.079503.122,2026-05-06,CC BY-NC
pmc_PMC10019366,pmc,10.1261/rna.079511.122,2026-05-06,CC BY
pmc_PMC10019367,pmc,10.1261/rna.079507.122,2026-05-06,CC BY-NC
pmc_PMC10019368,pmc,10.1261/rna.079626.123,2026-05-06,CC BY-NC
pmc_PMC10019369,pmc,10.1261/rna.079500.122,2026-05-06,CC BY-NC
pmc_PMC10019370,pmc,10.1261/rna.079526.122,2026-05-06,CC BY-NC
pmc_PMC10019371,pmc,10.1261/rna.079518.122,2026-05-06,CC BY-NC
pmc_PMC10019372,pmc,10.1261/rna.079498.122,2026-05-06,CC BY-NC
pmc_PMC10019445,pmc,10.1002/pro.4597,2026-05-06,CC BY-NC
pmc_PMC10021655,pmc,10.1371/journal.pgph.0001606,2026-05-06,CC BY
pmc_PMC10022581,pmc,10.1002/pro.4608,2026-05-06,CC BY
pmc_PMC10023140,pmc,10.1044/2022_AJSLP-22-00178,2026-05-06,CC BY-NC-ND
pmc_PMC10024520,pmc,10.1007/s40801-023-00360-8,2026-05-06,CC BY-NC
pmc_PMC10027761,pmc,10.1503/cjs.015421,2026-05-06,CC BY-NC-ND
pmc_PMC10031213,pmc,10.1002/pro.4600,2026-05-06,CC BY-NC-ND
pmc_PMC10031225,pmc,10.1002/pro.4604,2026-05-06,CC BY
pmc_PMC10031235,pmc,10.1002/pro.4609,2026-05-06,CC BY
pmc_PMC10031237,pmc,10.1002/pro.4607,2026-05-06,CC BY-NC
pmc_PMC10031809,pmc,10.1002/pro.4623,2026-05-06,CC BY-NC-ND
pmc_PMC10034230,pmc,10.1007/s13555-023-00916-0,2026-05-06,CC BY-NC
pmc_PMC10039777,pmc,10.1007/s10787-023-01193-1,2026-05-06,CC BY
pmc_PMC10040398,pmc,10.1007/s42991-022-00259-x,2026-05-06,CC BY
pmc_PMC10040614,pmc,10.1016/j.compbiomed.2023.106696,2026-05-06,CC BY
pmc_PMC10040934,pmc,10.1038/s41423-023-00998-y,2026-05-06,CC BY
pmc_PMC10041343,pmc,10.1016/j.chemosphere.2023.138281,2026-05-06,CC BY-NC
pmc_PMC10041671,pmc,10.1590/1414-431X2023e12547,2026-05-06,CC BY
pmc_PMC10042462,pmc,10.1590/2177-6709.27.6.e22bbo6,2026-05-06,CC BY
pmc_PMC10042463,pmc,10.1590/2177-6709.27.6.e2221174.oar,2026-05-06,CC BY
pmc_PMC10042465,pmc,10.1590/2177-6709.27.6.e2220352.oar,2026-05-06,CC BY
pmc_PMC10042472,pmc,10.1590/0037-8682-0612-2022,2026-05-06,CC BY
pmc_PMC10042475,pmc,10.1590/0034-7167-2022-0301,2026-05-06,CC BY
pmc_PMC10042492,pmc,10.1590/acb380523,2026-05-06,CC BY
pmc_PMC10042645,pmc,10.5534/wjmh.220003,2026-05-06,CC BY-NC
pmc_PMC10042646,pmc,10.5534/wjmh.220091,2026-05-06,CC BY-NC
pmc_PMC10042647,pmc,10.5534/wjmh.210240,2026-05-06,CC BY-NC
pmc_PMC10042649,pmc,10.5534/wjmh.220213,2026-05-06,CC BY-NC
pmc_PMC10042650,pmc,10.5534/wjmh.210261,2026-05-06,CC BY-NC
pmc_PMC10042651,pmc,10.5534/wjmh.220102,2026-05-06,CC BY-NC
pmc_PMC10042653,pmc,10.5534/wjmh.220069,2026-05-06,CC BY-NC
pmc_PMC10042654,pmc,10.5534/wjmh.210201,2026-05-06,CC BY-NC
pmc_PMC10042657,pmc,10.5534/wjmh.210244,2026-05-06,CC BY-NC
pmc_PMC10042658,pmc,10.5534/wjmh.210230,2026-05-06,CC BY-NC
pmc_PMC10042660,pmc,10.5534/wjmh.220186,2026-05-06,CC BY-NC
pmc_PMC10042662,pmc,10.5534/wjmh.220124,2026-05-06,CC BY-NC
pmc_PMC10043610,pmc,10.1259/dmfr.20220071,2026-05-06,CC BY-NC
pmc_PMC10043612,pmc,10.1259/dmfr.20200529,2026-05-06,CC BY-NC
pmc_PMC10043615,pmc,10.1259/dmfr.20210483,2026-05-06,CC BY-NC
pmc_PMC10043784,pmc,10.3344/kjp.22392,2026-05-06,CC BY-NC
pmc_PMC10043785,pmc,10.3344/kjp.22336,2026-05-06,CC BY-NC
pmc_PMC10043786,pmc,10.3344/kjp.23011,2026-05-06,CC BY-NC
pmc_PMC10043790,pmc,10.3344/kjp.23080,2026-05-06,CC BY-NC
pmc_PMC10043791,pmc,10.3344/kjp.22325,2026-05-06,CC BY-NC
pmc_PMC10043944,pmc,10.1124/dmd.122.001195,2026-05-06,CC BY
pmc_PMC10044111,pmc,10.1002/pro.4622,2026-05-06,CC BY
pmc_PMC10044346,pmc,10.3389/fimmu.2023.1142088,2026-05-06,CC BY
pmc_PMC10045674,pmc,10.3201/eid2904.221605,2026-05-06,CC BY
pmc_PMC10045678,pmc,10.3201/eid2904.221628,2026-05-06,CC BY
pmc_PMC10045680,pmc,10.3201/eid2904.221834,2026-05-06,CC BY
pmc_PMC10045681,pmc,10.3201/eid2904.221268,2026-05-06,CC BY
pmc_PMC10045683,pmc,10.3201/eid2904.221538,2026-05-06,CC BY
pmc_PMC10045684,pmc,10.3201/eid2904.221610,2026-05-06,CC BY
pmc_PMC10045685,pmc,10.3201/eid2904.221572,2026-05-06,CC BY
pmc_PMC10045686,pmc,10.3201/eid2904.230058,2026-05-06,CC BY
pmc_PMC10045687,pmc,10.3201/eid2904.221433,2026-05-06,CC BY
pmc_PMC10045688,pmc,10.3201/eid2904.221594,2026-05-06,CC BY
pmc_PMC10045689,pmc,10.3201/eid2904.221318,2026-05-06,CC BY
pmc_PMC10045690,pmc,10.3201/eid2904.220778,2026-05-06,CC BY
pmc_PMC10045694,pmc,10.3201/eid2904.221285,2026-05-06,CC BY
pmc_PMC10045695,pmc,10.3201/eid2904.221426,2026-05-06,CC BY
pmc_PMC10045696,pmc,10.3201/eid2904.221622,2026-05-06,CC BY
pmc_PMC10045697,pmc,10.3201/eid2904.221576,2026-05-06,CC BY
pmc_PMC10045698,pmc,10.3201/eid2904.221397,2026-05-06,CC BY
pmc_PMC10045699,pmc,10.3201/eid2904.221267,2026-05-06,CC BY
pmc_PMC10045704,pmc,10.3201/eid2904.221921,2026-05-06,CC BY
pmc_PMC10045706,pmc,10.3201/eid2904.221698,2026-05-06,CC BY
pmc_PMC10045707,pmc,10.3201/eid2904.221727,2026-05-06,CC BY
pmc_PMC10045711,pmc,10.3201/eid2904.221850,2026-05-06,CC BY
pmc_PMC10045713,pmc,10.3201/eid2904.221835,2026-05-06,CC BY
pmc_PMC10045714,pmc,10.3201/eid2904.221439,2026-05-06,CC BY
pmc_PMC10045715,pmc,10.3201/eid2904.221807,2026-05-06,CC BY
pmc_PMC10046651,pmc,10.3390/cancers15061776,2026-05-06,CC BY
pmc_PMC10049025,pmc,10.3892/ijmm.2023.5239,2026-05-06,CC BY-NC-ND
pmc_PMC10049421,pmc,10.3390/ijms24065422,2026-05-06,CC BY
pmc_PMC10050797,pmc,10.1186/s12884-023-05507-7,2026-05-06,CC BY
pmc_PMC10050817,pmc,10.1007/s12471-023-01766-3,2026-05-06,CC BY
pmc_PMC10051051,pmc,10.3390/vaccines11030675,2026-05-06,CC BY
pmc_PMC10051062,pmc,10.3390/s23063212,2026-05-06,CC BY
pmc_PMC10051091,pmc,10.3390/s23062955,2026-05-06,CC BY
pmc_PMC10051118,pmc,10.3390/s23063173,2026-05-06,CC BY
pmc_PMC10051148,pmc,10.3390/v15030801,2026-05-06,CC BY
pmc_PMC10051218,pmc,10.3390/s23063161,2026-05-06,CC BY
pmc_PMC10051238,pmc,10.3390/vaccines11030711,2026-05-06,CC BY
pmc_PMC10051241,pmc,10.3390/s23062942,2026-05-06,CC BY
pmc_PMC10051373,pmc,10.3390/s23063246,2026-05-06,CC BY
pmc_PMC10051404,pmc,10.3390/s23063092,2026-05-06,CC BY
pmc_PMC10051405,pmc,10.3390/s23063010,2026-05-06,CC BY
